136,  2:05:48  , Paul Tergat                  ,  KEN   ,  17.06.69  ,2, London                ,      14.04.2002
136,  2:05:48  , Jafred Chirchir              ,  KEN   ,  08.08.83  ,1, Eindhoven             ,      09.10.2011
136,  2:05:48  , Daniel Wanjiru               ,  KEN   ,  25.05.92  ,1, London                ,      23.04.2017
136,  2:05:48  , Sondre Nordstad Moen         ,  NOR   ,  12.01.91  ,1, Fukuoka               ,      03.12.2017
140,  2:05:49  , William Kipsang              ,  KEN   ,  26.06.77  ,1, Rotterdam             ,      13.04.2008
140,  2:05:49  , Birhanu Girma                ,  ETH   ,  22.11.86  ,3, Dubai                 ,      24.01.2014
140,  2:05:49  , Mark Korir                   ,  KEN   ,  10.01.85  ,1, Paris                 ,      12.04.2015
143,  2:05:50  , Evans Rutto                  ,  KEN   ,  14.01.84  ,1, Chicago               ,      12.10.2003
143,  2:05:50  , James Kipsang Kwambai        ,  KEN   ,  28.02.83  ,1, Seoul                 ,      04.11.2012
143,  2:05:50  , Dennis Kimetto               ,  KEN   ,  22.04.84  ,3, London                ,      26.04.2015
143,  2:05:50  , Shura Kitata Tola            ,  ETH   ,  09.06.96  ,1, Frankfurt             ,      29.10.2017
147,  2:05:51  , Kenenisa Bekele              ,  ETH   ,  13.06.82  ,4, Chicago               ,      12.10.2014
147,  2:05:51  , Gideon Kipketer              ,  KEN   ,  10.11.92  ,2, Tokyo                 ,      26.02.2017
149,  2:05:52  , Robert Kiprono Cheruiyot     ,  KEN   ,  10.08.88  ,1, Boston                ,      19.04.2010
149,  2:05:52  , Lelisa Desisa Benti          ,  ETH   ,  14.01.90  ,2, Dubai                 ,      23.01.2015
149,  2:05:52  , Stephen Chebogut             ,  KEN   ,  09.01.85  ,1, Eindhoven             ,      11.10.2015
152,  2:05:53  , Wilson Chebet                ,  KEN   ,  07.12.85  ,1, Amsterdam             ,      16.10.2011
153,  2:05:54  , Sammy Kirop Kitwara          ,  KEN   ,  26.11.86  ,4, Chicago               ,      07.10.2012
153,  2:05:54  , Laban Korir                  ,  KEN   ,  30.12.85  ,4, Amsterdam             ,      16.10.2016
153,  2:05:54  , Amos Kipruto                 ,  KEN   ,92,1, Seoul                 ,      19.03.2017
156,  2:05:56  , Khalid Khannouchi            ,  USA   ,  22.12.71  ,1, Chicago               ,      13.10.2002
156,  2:05:56  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Berlin                ,      24.09.2006
156,  2:05:56  , Abera Kuma                   ,  ETH   ,  31.08.90  ,3, Berlin                ,      28.09.2014
159,  2:05:57  , Tadesse Tola                 ,  ETH   ,  31.10.87  ,2, Tokyo                 ,      23.02.2014
159,  2:05:57  , Kenenisa Bekele              ,  ETH   ,  13.06.82  ,2, London                ,      23.04.2017
161,  2:05:58  , Shami Abdullah               ,  ETH   ,  16.07.84  ,1, Hamburg               ,      29.04.2012
161,  2:05:58  , Deriba Robi                  ,  ETH   ,  20.09.90  ,2, Eindhoven             ,      11.10.2015
163,  2:06:00  , Endeshaw Negesse             ,  ETH   ,  18.03.88  ,1, Tokyo                 ,      22.02.2015
163,  2:06:00  , Mark Kiptoo                  ,  KEN   ,  21.06.76  ,3, Eindhoven             ,      11.10.2015
165,  2:06:03  , James Kipsang Kwambai        ,  KEN   ,  28.02.83  ,2, Seoul                 ,      18.03.2012
165,  2:06:03  , Felix Kandie                 ,  KEN   ,  10.04.87  ,2, Seoul                 ,      19.03.2017
167,  2:06:04  , Abderrahim Goumri            ,  MAR   ,  21.05.76  ,2, Chicago               ,      11.10.2009
167,  2:06:04  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,1, London                ,      21.04.2013
167,  2:06:04  , Marius Kimutai               ,  KEN   ,88,1, Rotterdam             ,      09.04.2017
170,  2:06:05  , Ronaldo da Costa             ,  BRA   ,  07.06.70  ,1, Berlin                ,      20.09.1998
170,  2:06:05  , Laban Korir                  ,  KEN   ,  30.12.85  ,2, Amsterdam             ,      16.10.2011
170,  2:06:05  , Mark Korir                   ,  KEN   ,  10.01.85  ,3, Seoul                 ,      19.03.2017
173,  2:06:06  , Birhanu Girma                ,  ETH   ,  22.11.86  ,2, Amsterdam             ,      20.10.2013
173,  2:06:06  , Deriba Robi                  ,  ETH   ,  20.09.90  ,3, Dubai                 ,      23.01.2015
175,  2:06:07  , Eric Ndiema                  ,  KEN   ,  28.12.92  ,3, Amsterdam             ,      16.10.2011
175,  2:06:07  , Philip Sanga Kimutai         ,  KEN   ,  10.09.83  ,4, Frankfurt             ,      30.10.2011
175,  2:06:07  , Ezekiel Chebii               ,  KEN   ,  03.01.91  ,5, Amsterdam             ,      16.10.2016
175,  2:06:07  , Nobert Kigen                 ,  KEN   ,  24.10.93  ,4, Seoul                 ,      19.03.2017
175,  2:06:07  , Galen Rupp                   ,  USA   ,  08.05.86  ,1, Praha                 ,      06.05.2018
180,  2:06:08  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Berlin                ,      20.09.2009
180,  2:06:08  , Vincent Kipruto              ,  KEN   ,  13.09.87  ,3, Chicago               ,      11.10.2009
180,  2:06:08  , Patrick Makau                ,  KEN   ,  02.03.85  ,1, Frankfurt             ,      28.10.2012
180,  2:06:08  , Bernard Koech                ,  KEN   ,  31.01.88  ,2, Rotterdam             ,      13.04.2014
184,  2:06:09  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Dubai                 ,      22.01.2010
184,  2:06:09  , Mosinet Geremew              ,  ETH   ,  12.02.92  ,3, Berlin                ,      24.09.2017
186,  2:06:10  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,1, Fukuoka               ,      07.12.2008
186,  2:06:10  , Kaan Kigen Özbilen           ,  TUR   ,  15.01.86  ,3, Seoul                 ,      20.03.2016
186,  2:06:10  , Paul Lonyangata              ,  KEN   ,  12.12.92  ,1, Paris                 ,      09.04.2017
189,  2:06:11  , Franklin Chepkwony           ,  KEN   ,  15.06.84  ,2, Eindhoven             ,      14.10.2012
189,  2:06:11  , Wilson Loyanai               ,  KEN   ,  20.11.88  ,1, Seoul                 ,      15.03.2015
189,  2:06:11  , Marius Kipserem              ,  KEN   ,  17.05.88  ,1, Rotterdam             ,      10.04.2016
189,  2:06:11  , Yuta Shitara                 ,  JPN   ,  18.12.91  ,2, Tokyo                 ,      25.02.2018
193,  2:06:12  , Wilson Chebet                ,  KEN   ,  07.12.85  ,2, Amsterdam             ,      17.10.2010
193,  2:06:12  , Geoffrey Kamworor            ,  KEN   ,  28.11.92  ,3, Berlin                ,      30.09.2012
195,  2:06:13  , Wilson Kiprotich Kebenei     ,  KEN   ,  20.07.80  ,1, Otsu                  ,      07.03.2011
195,  2:06:13  , Abreham Cherkos              ,  ETH   ,  23.09.89  ,5, Boston                ,      18.04.2011
195,  2:06:13  , Wesley Korir                 ,  KEN   ,  15.11.82  ,5, Chicago               ,      07.10.2012
195,  2:06:13  , John Mwangangi               ,  KEN   ,  01.11.90  ,1, Valencia              ,      15.11.2015
195,  2:06:13  , Felix Kandie                 ,  KEN   ,  10.04.87  ,4, Berlin                ,      24.09.2017
