221,19.95,  +1.9  ,  Floyd Heard                   , USA  ,   24.03.66  ,1,  Lubbock                     ,  17.05.1987
221,19.95,  -1.0  ,  Michael Marsh                 , USA  ,   04.08.67  ,  1r2  ,  Zürich                      ,  19.08.1992
221,19.95,  -0.2  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Paris                       ,  28.06.1996
221,19.95,  +1.1  ,  Shawn Crawford                , USA  ,   14.01.78  ,  1q1  ,  Athínai                     ,  24.08.2004
221,19.95,  +0.2  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Split                       ,  05.09.2010
221,19.95,  +1.6  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,1,  Kingston                    ,  07.05.2011
221,19.95,  +0.8  ,  Jaysuma Saidy Ndure           , NOR  ,   01.01.84  ,4,  Daegu                       ,  03.09.2011
221,19.95,  +1.8  ,  Wallace Spearmon              , USA  ,   24.12.84  ,  1rA  ,  Arlington                   ,  24.03.2012
221,19.95,  +1.1  ,  Churandy Martina              , NED  ,   03.07.84  ,2,  London                      ,  14.07.2012
221,19.95,  -0.2  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,2,  New York City               ,  14.06.2014
221,19.95,  -0.9  ,  Alonso Edward                 , PAN  ,   08.12.89  ,1,  Zürich                      ,  28.08.2014
221,19.95,  +0.8  ,  Usain Bolt                    , JAM  ,   21.08.86  ,  1s3  ,  Beijing                     ,  26.08.2015
221,19.95,  +0.4  ,  Nethaneel Mitchell-Blake      , GBR  ,   02.04.94  ,1,  Tuscaloosa                  ,  14.05.2016
