94,44.05,   Angelo Taylor              ,    USA   ,  29.12.78 ,1,  Indianapolis            ,    23.06.2007
94,44.05,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1rA  ,  London                  ,    03.08.2007
94,44.05,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Berlin                  ,    16.09.2007
97,44.06,   Lee Evans                  ,    USA   ,  25.02.47 ,1,  Echo Summit             ,    14.09.1968
97,44.06,   Danny Everett              ,    USA   ,  01.11.66 ,1,  Sevilla                 ,    30.05.1990
97,44.06,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Bruxelles               ,    28.08.1998
97,44.06,   LaShawn Merritt            ,    USA   ,  27.06.86 ,2,  Indianapolis            ,    23.06.2007
97,44.06,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Berlin                  ,    21.08.2009
102,44.07,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Bruxelles               ,    25.08.2000
102,44.07,   Jeremy Wariner             ,    USA   ,  31.01.84 ,2,  Berlin                  ,    01.06.2008
104,44.08,   Steve Lewis                ,    USA   ,  16.05.69 ,2,  New Orleans             ,    26.06.1992
104,44.08,   Harry Reynolds             ,    USA   ,  08.06.64 ,   1r1  ,  Lausanne                ,    02.07.1997
104,44.08,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Des Moines              ,    29.04.2016
104,44.08,   Isaac Makwala              ,    BOT   ,  29.09.86 ,3,  Lausanne                ,    06.07.2017
108,44.09,   Danny Everett              ,    USA   ,  01.11.66 ,3,  Seoul                   ,    28.09.1988
108,44.09,   Alvin Harrison             ,    USA   ,  20.01.74 ,3,  Atlanta                 ,    19.06.1996
108,44.09,   Jerome Young               ,    USA   ,  14.08.76 ,1,  New Orleans             ,    21.06.1998
108,44.09,   LaShawn Merritt            ,    USA   ,  27.06.86 ,2,  Saint-Denis             ,    06.07.2013
108,44.09,   Fred Kerley                ,    USA   ,  07.05.95 ,   1h1  ,  Columbia                ,    12.05.2017
113,44.1,   Harry Reynolds             ,    USA   ,  08.06.64 ,1,  Columbus                ,    03.05.1987
113,44.1,   Gary Kikaya                ,    COD   ,  04.02.78 ,2,  Stuttgart               ,    09.09.2006
113,44.1,   Fred Kerley                ,    USA   ,  07.05.95 ,1,  Eugene                  ,    09.06.2017
116,44.11,   Steve Lewis                ,    USA   ,  16.05.69 ,   1s2  ,  Indianapolis            ,    18.07.1988
