225,01:43.42, Steve Cram                  ,   GBR   ,  14.10.60 ,   3rA   , Zürich                   ,   17.08.1988
225,01:43.42, David Kiptoo Singoei        ,   KEN   ,  26.06.65 ,2, Rieti                    ,   01.09.1996
225,01:43.42, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,1, Athínai                  ,   03.07.2006
228,01:43.43, Johnny Gray                 ,   USA   ,  19.06.60 ,   3rA   , Zürich                   ,   21.08.1985
228,01:43.43, Youssef Saad Kamel          ,   BRN   ,  29.03.83 ,2, Rieti                    ,   05.09.2004
228,01:43.43, Ferguson Cheruiyot          ,   KEN   ,  30.11.89 ,   4rA   , Saint-Denis              ,   27.08.2016
231,01:43.44, Alberto Juantorena          ,   CUB   ,  03.12.50 ,1, Sofia                    ,   21.08.1977
231,01:43.44, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,   1rB   , Zürich                   ,   13.08.1997
231,01:43.44, Duane Solomon               ,   USA   ,  28.12.84 ,3, Monaco                   ,   20.07.2012
234,01:43.45, Paul Ereng                  ,   KEN   ,  22.08.67 ,1, Seoul                    ,   26.09.1988
234,01:43.45, Benson Koech                ,   KEN   ,  10.11.74 ,   2rB   , Zürich                   ,   16.08.1995
234,01:43.45, Patrick Ndururi             ,   KEN   ,  12.01.69 ,2, Fukuoka                  ,   13.09.1997
234,01:43.45, Bram Som                    ,   NED   ,  20.02.80 ,   2rA   , Zürich                   ,   18.08.2006
234,01:43.45, Asbel Kiprop                ,   KEN   ,  30.06.89 ,2, Ad-Dawhah                ,   14.05.2010
234,01:43.45, Adam Kszczot                ,   POL   ,  02.09.89 ,5, Monaco                   ,   17.07.2015
240,01:43.46, Johnny Gray                 ,   USA   ,  19.06.60 ,   1rA   , Zürich                   ,   13.08.1986
240,01:43.46, Arthémon Hatungimana        ,   BDI   ,  21.01.74 ,   2rB   , Zürich                   ,   14.08.1996
240,01:43.46, David Rudisha               ,   KEN   ,  17.12.88 ,1, Tomblaine                ,   24.06.2011
243,01:43.47, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,1, Durham                   ,   13.07.1996
244,01:43.48, Wilfred Bungei              ,   KEN   ,  24.07.80 ,1, Bruxelles                ,   03.09.2004
244,01:43.48, Asbel Kiprop                ,   KEN   ,  30.06.89 ,1, Athínai                  ,   13.07.2009
244,01:43.48, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,   1rA   , Torino                   ,   12.06.2010
